,STATION_NAME,NAT_ABBR,LATITUDE,LONGITUDE,XCOORD,YCOORD,ELEVATION
351,Torricella / Crana,CTO,46.076,8.8954,712695,103746,1002.00
352,Tour de Gourze,TDG,46.51,6.7409,546450,151240, 915.00
353,Trogen,TRO,47.398999999999994,9.4546,752170,251770, 975.00
354,Trun,TRU,46.744,9.0088,719985,178224, 834.00
355,Tschiertschen,TST,46.82,9.6081,765538,187679,1273.00
356,Turbenthal,ZHTUR,47.434,8.8615,707340,254670, 570.00
357,Uerikon,UER,47.236000000000004,8.7559,699740,232470, 415.00
358,Ulrichen,ULR,46.505,8.3081,666740,150760,1345.87
359,Unterkulm,UNK,47.32,8.1111,650838,241212, 454.00
360,Unterschächen,UNS,46.871,8.7753,701900,192000,1470.00
361,Urnerboden,URB,46.898999999999994,8.9171,712650,195250,1395.00
362,Urnäsch,URN,47.312,9.2798,739205,241765, 825.00
363,Uster,UST,47.351000000000006,8.6922,694712,245206, 438.00
364,Vaduz,VAD,47.126999999999995,9.5175,757719,221697, 457.25
365,Valeyres-sous-Rances,VAR,46.753,6.5255,530230,178350, 512.00
366,Vallorbe,VVI,46.713,6.3845,519400,174060, 748.00
367,Vals,VLS,46.628,9.1887,734016,165552,1242.00
368,Vevey / Corseaux,VEV,46.471000000000004,6.8151,552106,146847, 405.00
369,Villars-Tiercelin,VIT,46.622,6.7101,544198,163651, 859.00
370,"Vira, Gambarogno",VIG,46.143,8.8414,708384,111187, 209.00
371,Visp,VIS,46.303000000000004,7.8429,631149,128020, 639.00
372,Vrin,VRI,46.656000000000006,9.1035,727424,168526,1384.00
373,Vättis,VAE,46.909,9.4436,752732,197282, 939.00
374,Wahlendorf,WDO,47.004,7.3367,592250,205940, 760.00
375,Wald / Tanne,TAW,47.42,9.5197,757025,254230,1075.00
376,Waldegg,WAG,47.361999999999995,8.4566,676900,246180, 550.00
377,Wasen im Emmental,WIE,47.045,7.8051,627850,210550, 770.00
378,Weesen,WEE,47.132,9.0861,724983,221383, 425.00
379,Weinfelden,WEF,47.568000000000005,9.1185,726403,269983, 477.00
380,Weissfluhjoch,WFJ,46.833,9.8064,780615,189634,2691.24
381,Weisstannen,WET,46.988,9.3435,744900,205820,1010.00
382,Widnau,WID,47.369,9.6431,766485,248850, 411.00
383,"Wil, ZH",WBR,47.605,8.507,680340,273225, 406.00
384,Wilchingen,WCH,47.668,8.4645,677050,280200, 420.00
385,Wildhaus,WHA,47.201,9.3674,746129,229568, 998.00
386,Wimmis,WIS,46.67100000000001,7.6638,617229,168864, 648.00
387,Winterthur / Seen,WIN,47.475,8.7632,699845,259054, 506.00
388,Wittnau,WIT,47.48,7.9685,639941,258983, 463.00
389,Witzwil,WIW,46.998999999999995,7.0526,570636,205385, 433.00
390,Wynau,WYN,47.255,7.7874,626400,233850, 422.00
391,Wädenswil,WAE,47.221000000000004,8.6777,693847,230744, 485.37
392,Yverdon-les-Bains,YVN,46.782,6.651,539855,181540, 433.00
393,Zell / Rämismühle,ZHZEL,47.443000000000005,8.8148,703795,255605, 524.00
394,Zermatt,ZER,46.028999999999996,7.7531,624350,97560,1638.35
395,Zernez,ZNZ,46.698,10.0896,802721,175275,1470.00
396,Zervreila,ZEV,46.57899999999999,9.1188,728780,159993,1738.00
397,Zugerberg,ZUB,47.144,8.5326,682975,222000, 920.00
398,Zweisimmen,ZWE,46.551,7.3848,595870,155480,1015.00
399,Zwillikon,ZWK,47.29,8.4319,675138,238165, 461.00
400,Zürich / Affoltern,REH,47.428000000000004,8.5179,681428,253546, 443.53
401,Zürich / Fluntern,SMA,47.378,8.5657,685117,248066, 555.95
402,Zürich / Kloten,KLO,47.48,8.5359,682710,259339, 426.26
